BOB - DYLAN    CA0000000020191211B20000000
DAVIS          CA0000000120150909B10000001
QUERVO         IA9999999999999999B20000001
FROAH          IA0100000020190801B30050000
BIRKNER        IA0000000120190601B39999999
METZGER        IA0500000019800323B20250000
LESTER         MO9999999999999999B30000000
HERNANDEZ      WI0000000019980815B39999999
MUHAMED        WI0000000120010911B10000000
FREEMAN        WI0000000099999999B10000001
XXXXXXXXXXXXXXXZZ9999999999999999B19999999
BOB - DYLAN    CA0000000020191211P20000000
DAVIS          CA0000000120150909P10000001
QUERVO         IA9999999999999999P20000001
BIRKNER        IA0000000120190601P39999999
BERNARD        MO1500000020200620P20500000
LESTER         MO9999999999999999P30000000
HERNANDEZ      WI0000000019980815P39999999
MUHAMED        WI0000000120010911P10000000
FREEMAN        WI0000000099999999P10000001
GEORGE         WI0250000020110904P10500000
XXXXXXXXXXXXXXXZZ9999999999999999P19999999
BOB - DYLAN    CA0000000020191211S20000000
DAVIS          CA0000000120150909S10000001
SCHWARZENEGGER CA5000000020110704S21000000
QUERVO         IA9999999999999999S20000001
BIRKNER        IA0000000120190601S39999999
LESTER         MO9999999999999999S30000000
HERNANDEZ      WI0000000019980815S39999999
MUHAMED        WI0000000120010911S10000000
FREEMAN        WI0000000099999999S10000001
POTTER         WI0250000020110904S10500000
XXXXXXXXXXXXXXXZZ9999999999999999S19999999
BOB - DYLAN    CA0000000020191211J20000000
DAVIS          CA0000000120150909J10000001
QUERVO         IA9999999999999999J20000001
BIRKNER        IA0000000120190601J39999999
WILSON         IA0100000020181031J10050000
LESTER         MO9999999999999999J30000000
HERNANDEZ      WI0000000019980815J39999999
MUHAMED        WI0000000120010911J10000000
FREEMAN        WI0000000099999999J10000001
DURSLEY        WI0800000019980614J20150000
XXXXXXXXXXXXXXXZZ9999999999999999J19999999
BOB - DYLAN    CA0000000020191211R20000000
DAVIS          CA0000000120150909R10000001
MACGYVER       CA0600000019850929r30100000
QUERVO         IA9999999999999999R20000001
BIRKNER        IA0000000120190601R39999999
LESTER         MO9999999999999999R30000000
HERNANDEZ      WI0000000019980815R39999999
MUHAMED        WI0000000120010911R10000000
FREEMAN        WI0000000099999999R10000001
BILL           WI1000000020110904R11500000
XXXXXXXXXXXXXXXZZ9999999999999999R19999999
BOB - DYLAN    CA0000000020191211C20000000
DAVIS          CA0000000120150909C10000001
QUERVO         IA9999999999999999C20000001
BIRKNER        IA0000000120190601C39999999
HILL           MO0200000020150515C30025000
LESTER         MO9999999999999999C30000000
HERNANDEZ      WI0000000019980815C39999999
MUHAMED        WI0000000120010911C10000000
FREEMAN        WI0000000099999999C10000001
VAN VELSOR     WI0700000020191216C30500000
XXXXXXXXXXXXXXXZZ9999999999999999C19999999
